,이경영,정인기,마동석,배성우,오달수,라미란,조진웅,김기천,한이진,오정세,영화명
387,0,0,0,0,0,0,0,0,0,0,너는 펫
388,0,0,0,0,0,0,0,0,0,0,트럭
389,0,0,0,1,0,1,0,0,0,0,미쓰 홍당무
390,0,0,0,0,0,0,0,1,0,0,사이코메트리
391,0,0,0,0,0,0,0,0,0,0,버닝
392,0,0,0,0,0,0,0,1,1,0,챔프
393,0,0,0,0,0,0,0,0,0,0,7년의 밤
394,0,0,0,1,0,0,0,0,0,0,몬스터
395,0,0,0,0,0,0,0,0,0,0,헬머니
396,0,0,0,0,0,0,0,0,0,0,가려진 시간
397,0,0,0,1,0,0,0,0,0,1,남자사용설명서
398,0,0,0,0,0,0,0,0,0,0,아부의 왕
399,0,0,0,1,0,0,0,0,0,0,캐치미
400,0,0,0,0,0,0,0,0,0,0,무서운 이야기 2
401,0,0,0,0,0,0,0,0,1,0,불량남녀
402,1,0,0,0,0,0,0,0,0,0,또 하나의 약속
403,0,0,0,0,0,0,0,0,0,0,침묵
404,0,0,0,0,0,0,0,0,0,0,해어화
405,0,0,0,0,0,0,0,0,0,0,계춘할망
406,0,0,0,0,0,0,0,0,0,0,소녀괴담
407,0,0,0,0,0,0,0,0,0,0,조선미녀삼총사
408,0,0,0,0,0,0,0,0,0,0,친정엄마
409,0,0,0,0,0,0,0,0,0,0,넛잡: 땅콩 도둑들
410,0,0,0,0,0,0,0,0,0,0,"로봇, 소리"
411,0,0,0,0,0,0,0,0,0,0,변산
412,0,0,0,0,0,0,0,0,0,0,위험한 상견례 2
413,0,0,0,1,0,0,0,0,0,0,카운트다운
414,0,0,0,0,0,0,0,0,0,0,식객2 : 김치전쟁
415,0,0,0,0,0,0,0,0,0,0,달콤한 거짓말
416,1,0,0,0,0,0,0,0,0,0,리얼
417,0,0,0,0,0,0,0,0,0,0,페이스메이커
418,0,0,0,0,0,0,0,0,0,0,순수의 시대
419,0,0,1,0,0,0,0,0,0,0,동네사람들
420,0,0,0,0,0,0,0,0,0,0,노브레싱
421,0,0,1,0,0,0,0,0,0,0,원더풀 고스트
422,0,0,0,0,0,0,0,0,0,0,대한민국 1%
423,0,0,0,0,0,0,0,0,0,0,반드시 잡는다
424,0,0,0,0,0,0,0,0,0,0,뽀로로 극장판 컴퓨터 왕국 대모험
425,0,0,0,0,0,0,0,0,0,0,오감도
426,0,0,0,0,0,0,0,0,0,0,10억
427,0,0,0,0,0,0,0,0,0,0,감쪽같은 그녀
428,0,0,0,0,0,0,0,0,0,0,아기와 나
429,0,0,0,0,0,0,0,0,0,0,원라인
430,1,0,0,0,0,0,0,0,0,0,"협녀, 칼의 기억"
431,0,0,0,0,0,0,0,0,0,0,창수
432,0,0,0,1,0,0,0,0,0,0,오피스
433,0,0,0,1,0,0,0,0,0,0,모비딕
434,0,0,0,0,0,1,0,0,0,0,두 개의 달
435,0,0,0,1,0,0,0,0,0,0,나를 잊지 말아요
436,0,0,0,0,0,0,0,0,0,0,티끌모아 로맨스
437,0,0,0,0,0,0,0,0,0,0,기다리다 미쳐
438,0,0,0,0,0,0,0,0,0,0,흥부: 글로 세상을 바꾼 자
439,0,0,0,0,0,0,0,0,0,0,늑대소년-확장판
440,0,0,0,0,0,0,0,0,0,0,극장판 공룡메카드: 타이니소어의 섬
441,0,0,0,0,0,0,0,0,0,0,넛잡 2
442,0,0,0,0,0,0,0,0,0,0,좋은 친구들
443,0,0,0,0,0,0,0,0,0,0,사랑이 무서워
444,0,0,0,0,0,0,0,1,0,0,내 심장을 쏴라
445,0,0,0,1,0,0,0,0,0,0,나의 독재자
446,0,0,0,0,0,1,0,0,0,0,보통사람
447,1,0,0,0,0,0,0,0,0,0,소수의견
448,0,0,0,0,0,0,1,0,0,0,대장 김창수
449,0,0,0,0,0,0,0,0,0,0,경성학교: 사라진 소녀들
450,0,0,0,0,0,0,0,0,0,0,석조저택 살인사건
451,0,0,0,0,0,0,0,0,0,1,커플즈
452,0,0,0,0,0,0,0,0,0,0,싱글라이더
453,0,0,0,0,0,0,0,0,0,0,7호실
454,1,0,0,0,0,0,0,1,0,0,치외법권
455,0,0,0,0,0,0,0,0,0,0,러브 유어셀프 인 서울
456,0,0,0,0,0,0,0,0,0,1,하이힐
457,0,0,0,0,0,0,0,0,0,0,음치 클리닉
458,0,0,0,0,0,0,1,0,0,0,맨발의 꿈
459,0,1,0,0,0,0,0,0,0,0,허스토리
460,0,0,0,0,0,0,0,0,0,0,브링 더 소울 : 더 무비
461,0,0,0,0,0,0,0,0,0,0,미나문방구
